업종명,업소명,소재지(도로명),소재지(지번),소재지전화,데이터기준일
일반음식점,처갓집 양념치킨 월포점,경상북도 포항시 북구 청하면 해안로2308번길 67,경상북도 포항시 북구 청하면 월포리 294-20 ,   054-282-2807,2025-08-14
일반음식점,웰빙민속촌,,경상북도 포항시 북구 학잠동 114-1 (학잠보성A-208동101호) ,   054-282-5213,2025-08-14
일반음식점,굽네치킨(대이양학점),"경상북도 포항시 북구 이동로 70, 1층 103호 (득량동)",경상북도 포항시 북구 득량동 303-3 ,   054-282-9294,2025-08-14
일반음식점,간이역대해성당점,,경상북도 포항시 남구 해도동 80-14 외1필지.신안빌딩105호 1층 ,   054-283-7828,2025-08-14
일반음식점,청마루,"경상북도 포항시 남구 대이로189번길 11-12, 1층 (이동)",경상북도 포항시 남구 이동 647-9 1층 ,   054-283-8833,2025-08-14
일반음식점,한봉순해물찜이동점,"경상북도 포항시 남구 희망대로 430 (이동,(A동 1층))",경상북도 포항시 남구 이동 94-1 (A동 1층) ,   054-284-6611,2025-08-14
일반음식점,바다양푼이동태탕,경상북도 포항시 남구 연일읍 연일중앙로 25,경상북도 포항시 남구 연일읍 생지리 172 ,   054-285-5327,2025-08-14
일반음식점,논길따라,경상북도 포항시 남구 대송면 운제로 547,경상북도 포항시 남구 대송면 대각리 22-3 ,   054-285-7797,2025-08-14
일반음식점,부산밀면,경상북도 포항시 남구 대이로143번길 8 (이동),경상북도 포항시 남구 이동 654-9 ,   054-285-8486,2025-08-14
일반음식점,비어플러스,"경상북도 포항시 남구 연일읍 연일로159번길 47, 2층",경상북도 포항시 남구 연일읍 생지리 147-3 2층 ,   054-286-1719,2025-08-14
일반음식점,주왕산삼계탕,경상북도 포항시 남구 연일읍 동문로 73,경상북도 포항시 남구 연일읍 오천리 178-29 ,   054-286-4599,2025-08-14
일반음식점,종가집,경상북도 포항시 남구 청림서길 25 (청림동),경상북도 포항시 남구 청림동 8-3 ,   054-291-2000,2025-08-14
일반음식점,해아름(海아름),"경상북도 포항시 북구 신덕로 69, 1층 (양덕동)",경상북도 포항시 북구 양덕동 2022 ,   054-759-3310,2025-08-14
일반음식점,호식이두마리치킨,경상북도 포항시 남구 효자동길6번길 19-1 (효자동),경상북도 포항시 남구 효자동 308-23 ,  054-274-9982,2025-08-14
일반음식점,평화의주막촌,"경상북도 포항시 남구 희망대로 935 (해도동,(1층))",경상북도 포항시 남구 해도동 125-22 (1층) ,,2025-08-14
일반음식점,처갓집양념치킨(이동점),"경상북도 포항시 남구 대이로 145, 1층 102호 (이동, 비전빌딩)",경상북도 포항시 남구 이동 653-7 비전빌딩(1층) 102호,,2025-08-14
일반음식점,정성닭발 오천문덕점,"경상북도 포항시 남구 오천읍 남원로 28-1, 1층",경상북도 포항시 남구 오천읍 원리 1386 1층 ,,2025-08-14
일반음식점,변강쇠 조개먹는날,"경상북도 포항시 남구 오천읍 남원로 56, 1층",경상북도 포항시 남구 오천읍 원리 1208 1층 ,,2025-08-14
일반음식점,육덕진 소,"경상북도 포항시 남구 효자동길10번길 24-1, 1층 (효자동)","경상북도 포항시 남구 효자동 308-21 , 1층 ",,2025-08-14
일반음식점,에스에이(SA)푸드,"경상북도 포항시 남구 효성로16번길 3, 1층 (효자동)",경상북도 포항시 남구 효자동 575-12 1층 ,,2025-08-14
일반음식점,빅쭌 부대찌개,"경상북도 포항시 남구 오천읍 냉천로 308, 1층",경상북도 포항시 남구 오천읍 원리 939-5 1층 ,,2025-08-14
일반음식점,역전할머니맥주 포항이인점,"경상북도 포항시 북구 흥해읍 이인로77번길 5, 1층 103호",경상북도 포항시 북구 흥해읍 이인리 산 189-10 103호,,2025-08-14
일반음식점,막걸리한잔,경상북도 포항시 남구 연일읍 연일로159번길 32,경상북도 포항시 남구 연일읍 생지리 205-1 ,,2025-08-14
일반음식점,부자곰탕,"경상북도 포항시 남구 인덕로24번길 12-1, 1층 (인덕동)",경상북도 포항시 남구 인덕동 327-5 1층 ,,2025-08-14
일반음식점,강식당,경상북도 포항시 남구 오천읍 오어로 309 (보광그린상가 1층 101호),경상북도 포항시 남구 오천읍 문충리 260-5 보광그린상가 1층 101호 ,,2025-08-14
일반음식점,쭈야분식,"경상북도 포항시 북구 중흥로255번길 32, 1층 (죽도동)",경상북도 포항시 북구 죽도동 210-36 ,,2025-08-14
일반음식점,빅토리아,"경상북도 포항시 남구 효성로82번길 6-10, 1층 (효자동)","경상북도 포항시 남구 효자동 603-5 , 1층 ",,2025-08-14
일반음식점,(주)영일만식품,경상북도 포항시 북구 흥해읍 용한길160번길 8,경상북도 포항시 북구 흥해읍 용한리 155 ,,2025-08-14
일반음식점,싱싱대구대가리,"경상북도 포항시 남구 오천읍 원동로 41-18, 1층 2호",경상북도 포항시 남구 오천읍 원리 893-63 (1층) 2호,,2025-08-14
일반음식점,숨쉬는순두부 포항이동점,"경상북도 포항시 남구 대이로143번길 5-3, 1층 (이동)","경상북도 포항시 남구 이동 660-14 , 1층 ",,2025-08-14
일반음식점,정여사밥이랑회랑,"경상북도 포항시 남구 구룡포읍 호미로221번길 17, 1층",경상북도 포항시 남구 구룡포읍 구룡포리 963-177 1층 ,,2025-08-14
일반음식점,덕수파스타 포항문덕점,"경상북도 포항시 남구 오천읍 원동로 42, 1층 104호","경상북도 포항시 남구 오천읍 원리 933-3 , 1층 104호",,2025-08-14
일반음식점,harry's 나야 김치찌개,"경상북도 포항시 남구 대이로 112-3, 대이동종합상가 102동 126호 (대잠동)",경상북도 포항시 남구 대잠동 469-8 대이동종합상가 102동 126호,,2025-08-14
일반음식점,이어,"경상북도 포항시 남구 희망대로 1159, 1~2층 (송도동)",경상북도 포항시 남구 송도동 254-404 ,,2025-08-14
일반음식점,돼지빠,"경상북도 포항시 남구 효성로60번길 4, 1층 (효자동)","경상북도 포항시 남구 효자동 597-4 , 1층 ",,2025-08-14
일반음식점,지노,경상북도 포항시 남구 이동로 6 (주)디에스엠알오 2층 (이동),경상북도 포항시 남구 이동 643-2 (주)디에스엠알오 ,,2025-08-14
일반음식점,파도횟집,"경상북도 포항시 남구 오천읍 문덕로 48, 1층",경상북도 포항시 남구 오천읍 문덕리 348-4 (1층) ,,2025-08-14
일반음식점,터키식 케밥(TURKISH KEBAB),"경상북도 포항시 남구 오천읍 문덕로 3, 1층",경상북도 포항시 남구 오천읍 문덕리 231-1 ,,2025-08-14
일반음식점,착한막창,"경상북도 포항시 북구 대곡로43번길 7-7, 2층 (두호동)",경상북도 포항시 북구 두호동 1099-7 ,,2025-08-14
일반음식점,스텔라,"경상북도 포항시 남구 대이로60번길 7, 1층 (대잠동)",경상북도 포항시 남구 대잠동 989-6 (1층) ,,2025-08-14
일반음식점,백참&두찜(포항이동점),"경상북도 포항시 남구 대이로59번길 5-7, 1층 (대잠동)","경상북도 포항시 남구 대잠동 996-13 ,1층 ",,2025-08-14
일반음식점,주옥,"경상북도 포항시 남구 오천읍 냉천로302번길 56, 1층",경상북도 포항시 남구 오천읍 원리 932-10 1층 ,,2025-08-14
일반음식점,삼포생아구오리,"경상북도 포항시 남구 연일읍 중명길 91, 1층",경상북도 포항시 남구 연일읍 중명리 505-5 ,,2025-08-14
일반음식점,교동전선생,경상북도 포항시 남구 대이로95번길 5 (대잠동),경상북도 포항시 남구 대잠동 464-2 ,,2025-08-14
일반음식점,숙이네,"경상북도 포항시 남구 구룡포읍 호미로221번길 26-2, 1층",경상북도 포항시 남구 구룡포읍 구룡포리 963-139 1층 ,,2025-08-14
일반음식점,연일 솥뚜껑 생삼겹살,"경상북도 포항시 남구 연일읍 동문로21번길 8, 1층",경상북도 포항시 남구 연일읍 동문리 111-9 1층 ,,2025-08-14
일반음식점,옆집 삼겹살,"경상북도 포항시 남구 상대로 147 (대도동,(1층))",경상북도 포항시 남구 대도동 153-38 (1층) ,,2025-08-14
일반음식점,꾸브라꼬숯불 두마리치킨 오천점,"경상북도 포항시 남구 오천읍 냉천로302번길 21-1, 1층",경상북도 포항시 남구 오천읍 원리 937 1층 ,,2025-08-14
일반음식점,현.아지트,"경상북도 포항시 남구 대해로114번길 25, 1층 (대도동)",경상북도 포항시 남구 대도동 99-42 1층 ,,2025-08-14
일반음식점,우리집 식당,"경상북도 포항시 남구 연일읍 철강로41번길 33, 1층","경상북도 포항시 남구 연일읍 동문리 285-1 , 1층 ",,2025-08-14
일반음식점,뽀미네푸드,"경상북도 포항시 남구 오천읍 냉천로298번길 25, 1층",경상북도 포항시 남구 오천읍 원리 930-10 1층 ,,2025-08-14
일반음식점,구룡포 선술집,"경상북도 포항시 남구 구룡포읍 구룡포길 95, 1층","경상북도 포항시 남구 구룡포읍 구룡포리 460-30 , 1층 ",,2025-08-14
일반음식점,대봉,"경상북도 포항시 남구 해동로 19, 1층 (해도동)",경상북도 포항시 남구 해도동 63-30 (1층) ,,2025-08-14
일반음식점,취하당,"경상북도 포항시 남구 오천읍 냉천로302번길 45, 1층","경상북도 포항시 남구 오천읍 원리 934-6 , 1층 ",,2025-08-14
일반음식점,명짬뽕,"경상북도 포항시 남구 오천읍 해병로 417-32, 1층",경상북도 포항시 남구 오천읍 문덕리 1188-545 ,,2025-08-14
일반음식점,별식당,"경상북도 포항시 남구 대이로45번길 6-3, 1층 102호 (대잠동, 영화빌딩)",경상북도 포항시 남구 대잠동 997-8 (영화빌딩 102호) ,,2025-08-14
일반음식점,창신삼겹살,경상북도 포항시 남구 송림로 7 (송도동),경상북도 포항시 남구 송도동 473-10 ,,2025-08-14
일반음식점,청년찌개 포항문덕점,"경상북도 포항시 남구 오천읍 문덕로53번길 2, 101동 1층 1호 (국민드림빌1차)",경상북도 포항시 남구 오천읍 문덕리 369-1 국민드림빌1차 ,,2025-08-14
일반음식점,마포주먹고기,"경상북도 포항시 남구 오천읍 충무로 47 (외4필지 제일상가C동1-1,1-2,1-7호)","경상북도 포항시 남구 오천읍 용덕리 362-14 외4필지 제일상가C동1-1,1-2,1-7호 ",,2025-08-14
일반음식점,파르노 포항,경상북도 포항시 남구 포스코대로 86 (이동),경상북도 포항시 남구 이동 44 ,,2025-08-14
일반음식점,풀향기,경상북도 포항시 남구 대이로143번길 21 (이동),경상북도 포항시 남구 이동 657 ,,2025-08-14
일반음식점,이동한방옻닭,경상북도 포항시 남구 포스코대로 148 (대잠동),경상북도 포항시 남구 대잠동 469-7 2층 ,,2025-08-14
일반음식점,영덕수산회센타,경상북도 포항시 남구 연일읍 철강로41번길 54 (용인상가 102),경상북도 포항시 남구 연일읍 동문리 342-2 용인상가 102 ,,2025-08-14
일반음식점,백두산왕짜장,경상북도 포항시 북구 청하면 동해대로 2515,경상북도 포항시 북구 청하면 미남리 262-16 , 054- 243-4590,2025-08-14
일반음식점,성내식당,,경상북도 포항시 북구 흥해읍 성내리 50 ,,2025-08-14
일반음식점,용곡식당,,경상북도 포항시 북구 흥해읍 성내리 59-2 ,,2025-08-14
일반음식점,기동식당,,경상북도 포항시 북구 기계면 현내리 483-4 ,,2025-08-14
일반음식점,대중식육식당,경상북도 포항시 북구 기계면 기계로 83-2,경상북도 포항시 북구 기계면 현내리 392-3 ,,2025-08-14
일반음식점,정일식육식당,경상북도 포항시 북구 청하면 청하로 223,경상북도 포항시 북구 청하면 덕성리 296-4 ,,2025-08-14
일반음식점,쏠 수산 상회,"경상북도 포항시 북구 삼호로 131, 1층 (학산동)",경상북도 포항시 북구 학산동 84-9 ,,2025-08-14
일반음식점,지경횟집,경상북도 포항시 북구 송라면 동해대로3378번길 30,경상북도 포항시 북구 송라면 지경리 43 ,,2025-08-14
일반음식점,상록수 식당,,경상북도 포항시 북구 송라면 광천리 32-32 ,,2025-08-14
일반음식점,카페보경로498,"경상북도 포항시 북구 송라면 보경로 498, 1층",경상북도 포항시 북구 송라면 중산리 598-1 1층 ,,2025-08-14
일반음식점,대구식당,경상북도 포항시 북구 청하면 청하로217번길 18-1,경상북도 포항시 북구 청하면 덕성리 276-35 ,,2025-08-14
일반음식점,백번식당,경상북도 포항시 북구 청하면 해안로 2484-11,경상북도 포항시 북구 청하면 방어리 313 ,,2025-08-14
일반음식점,사랑방실비식당,,경상북도 포항시 북구 기계면 현내리 483-4 ,,2025-08-14
일반음식점,정은반점,경상북도 포항시 북구 죽장면 새마을로3575번길 34,경상북도 포항시 북구 죽장면 입암리 858-134 ,,2025-08-14
일반음식점,두꺼비횟집,경상북도 포항시 북구 흥해읍 해안로1732번길 66,경상북도 포항시 북구 흥해읍 오도리 339 ,,2025-08-14
일반음식점,향미식당,,경상북도 포항시 북구 흥해읍 옥성리 111-2 ,,2025-08-14
일반음식점,솔잎식당,"경상북도 포항시 북구 기계면 기계로 83, 1층",경상북도 포항시 북구 기계면 현내리 392-1 1층 ,,2025-08-14
일반음식점,경주실비식당,경상북도 포항시 북구 기북면 기북로 466-1,경상북도 포항시 북구 기북면 용기리 107-3 ,,2025-08-14
일반음식점,육일회식당,경상북도 포항시 북구 흥해읍 해안로1546번길 13,경상북도 포항시 북구 흥해읍 칠포리 153 ,,2025-08-14
일반음식점,대구식당,경상북도 포항시 북구 청하면 월포로 161,경상북도 포항시 북구 청하면 월포리 275-23 ,,2025-08-14
일반음식점,궁중물회나라,,경상북도 포항시 북구 흥해읍 약성리 115-14 ,,2025-08-14
일반음식점,신포항식당,,경상북도 포항시 북구 흥해읍 성내리 59-5 ,,2025-08-14
일반음식점,영성기사식당,경상북도 포항시 북구 청하면 청하로 195,경상북도 포항시 북구 청하면 미남리 389-4 ,,2025-08-14
일반음식점,바다횟집,경상북도 포항시 북구 흥해읍 해안로1546번길 19,경상북도 포항시 북구 흥해읍 칠포리 137 ,,2025-08-14
일반음식점,달전식당,경상북도 포항시 북구 흥해읍 도음로821번길 14-6,경상북도 포항시 북구 흥해읍 학천리 357 ,,2025-08-14
일반음식점,삼거리식당,,경상북도 포항시 북구 기계면 현내리 475-3 ,,2025-08-14
일반음식점,혜림회 식당,경상북도 포항시 북구 송라면 해안로2692번길 3-2,경상북도 포항시 북구 송라면 조사리 27-3 ,,2025-08-14
일반음식점,대동반점,경상북도 포항시 북구 기북면 기북로 466-1,경상북도 포항시 북구 기북면 용기리 107-3 ,,2025-08-14
일반음식점,천일횟집,경상북도 포항시 북구 청하면 해안로 2533,경상북도 포항시 북구 청하면 방어리 131-1 ,,2025-08-14
일반음식점,(주)이마트포항점 회.초밥코너,"경상북도 포항시 남구 냉천로 10, 이마트포항점 1층 (인덕동)","경상북도 포항시 남구 인덕동 161-176 ,이마트포항점 1층 ", 054- 223-1234,2025-08-14
일반음식점,대왕갈비,경상북도 포항시 북구 학전로 69 (두호동),경상북도 포항시 북구 두호동 1047-4 , 054- 231-0089,2025-08-14
일반음식점,짜글대장&고수의김치찌개 포항북구점,,경상북도 포항시 북구 두호동 1086 산호그린맨션1차 부속동 102호, 054- 231-0110,2025-08-14
일반음식점,119딧고기,"경상북도 포항시 북구 장량중앙로 71, 1층 (양덕동)",경상북도 포항시 북구 양덕동 665-4 (1층) , 054- 231-0588,2025-08-14
일반음식점,고기굽는수정마을,경상북도 포항시 북구 죽도로 23 (죽도동),경상북도 포항시 북구 죽도동 40-14 , 054- 231-0818,2025-08-14
일반음식점,충청돼지국밥,경상북도 포항시 남구 송림로 2 (송도동),경상북도 포항시 남구 송도동 483-3 , 054- 231-0852,2025-08-14
일반음식점,어니스크 포항,,경상북도 포항시 북구 용흥동 366 150동 105호, 054- 231-0880,2025-08-14
일반음식점,자연김밥,경상북도 포항시 북구 우창동로 35 (우현동),경상북도 포항시 북구 우현동 0 우현1토지구획정리지구 5B 1L , 054- 231-1088,2025-08-14
일반음식점,윤금자모리칼국수,경상북도 포항시 북구 장량로18번길 55 (장성동),경상북도 포항시 북구 장성동 1557-3 , 054- 231-1534,2025-08-14
일반음식점,네네치킨(청하점),경상북도 포항시 북구 청하면 청하로217번길 2,경상북도 포항시 북구 청하면 덕성리 78-3 , 054- 231-1535,2025-08-14
일반음식점,신승리회식당,,"경상북도 포항시 북구 죽도동 570-2 상가 102,103,105,108,109,110,111,112호 ", 054- 231-1688,2025-08-14
일반음식점,84곱창,경상북도 포항시 북구 창흥로 6-4 (창포동),경상북도 포항시 북구 창포동 636-10 , 054- 231-1911,2025-08-14
일반음식점,작은굴식당,경상북도 포항시 북구 창흥로 76 (창포동),경상북도 포항시 북구 창포동 425-2 , 054- 231-1960,2025-08-14
일반음식점,청산별곡,"경상북도 포항시 북구 삼호로 321 (두호동,,27)","경상북도 포항시 북구 두호동 204-24 ,27 ", 054- 231-2093,2025-08-14
일반음식점,신토불이식당,"경상북도 포항시 북구 삼호로245번길 20, 1층 (두호동)",경상북도 포항시 북구 두호동 1028-3 , 054- 231-2270,2025-08-14
일반음식점,엄마손밥집,경상북도 포항시 북구 창흥로 6-4 (창포동),경상북도 포항시 북구 창포동 636-10 , 054- 231-3121,2025-08-14
일반음식점,활어엔초밥,경상북도 포항시 북구 중앙로298번길 17 (여천동),경상북도 포항시 북구 여천동 34 , 054- 231-3279,2025-08-14
일반음식점,지호한방삼계탕,"경상북도 포항시 북구 장량로 243, 1층 (양덕동)",경상북도 포항시 북구 양덕동 2055 (1층) , 054- 231-3310,2025-08-14
일반음식점,교촌치킨,경상북도 포항시 남구 상공로 156 (대도동),경상북도 포항시 남구 대도동 97-4 , 054- 231-3467,2025-08-14
일반음식점,명가정통민물장어,경상북도 포항시 북구 청하면 용산길 235,경상북도 포항시 북구 청하면 이가리 639-1 , 054- 231-3646,2025-08-14
일반음식점,꿀벌밥집,"경상북도 포항시 북구 흥해읍 한동로 32, 1층",경상북도 포항시 북구 흥해읍 옥성리 50-3 (1층) , 054- 231-3662,2025-08-14
일반음식점,통영굴국밥,경상북도 포항시 북구 기계면 기계로 71,경상북도 포항시 북구 기계면 현내리 407-3 , 054- 231-3930,2025-08-14
일반음식점,미촌식당,경상북도 포항시 북구 두호로20번길 14 (두호동),경상북도 포항시 북구 두호동 1028 외 1필지(1028-1번지) , 054- 231-4002,2025-08-14
일반음식점,타임,경상북도 포항시 북구 중앙상가5길 5 (신흥동),경상북도 포항시 북구 신흥동 697-5 , 054- 231-4011,2025-08-14
일반음식점,포항 홈 파스타,경상북도 포항시 북구 중앙상가5길 6 (신흥동),경상북도 포항시 북구 신흥동 820-9 , 054- 231-4343,2025-08-14
일반음식점,황금굴그집,"경상북도 포항시 북구 삼호로 81-2, 1층 (대신동)",경상북도 포항시 북구 대신동 1-20 , 054- 231-4578,2025-08-14
일반음식점,밥심,경상북도 포항시 북구 창흥로 6 (창포동),경상북도 포항시 북구 창포동 636-4 , 054- 231-4888,2025-08-14
일반음식점,와우,경상북도 포항시 북구 서동로 64 (신흥동),경상북도 포항시 북구 신흥동 862-13 , 054- 231-5508,2025-08-14
일반음식점,아이사랑,경상북도 포항시 북구 중앙상가길 44 (상원동),경상북도 포항시 북구 상원동 466-20 , 054- 231-5650,2025-08-14
일반음식점,스푼앤포크,"경상북도 포항시 북구 장량로 199, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1755 (1층) , 054- 231-6001,2025-08-14
일반음식점,탐라루,경상북도 포항시 북구 창흥로 6-4 (창포동),경상북도 포항시 북구 창포동 636-10 , 054- 231-6100,2025-08-14
일반음식점,양촌리화로구이,경상북도 포항시 북구 창흥로12번길 34 (창포동),경상북도 포항시 북구 창포동 641 , 054- 231-6263,2025-08-14
일반음식점,치꼬뱅 두호점,경상북도 포항시 북구 두호로6번길 5-9 (두호동),경상북도 포항시 북구 두호동 1032-3 , 054- 231-6313,2025-08-14
일반음식점,영일대해물촌,"경상북도 포항시 북구 학전로 32, 1층 (항구동)","경상북도 포항시 북구 항구동 7 ,1층 ", 054- 231-7476,2025-08-14
일반음식점,태금,경상북도 포항시 북구 용흥로 144 (용흥동),경상북도 포항시 북구 용흥동 522-3 , 054- 231-7489,2025-08-14
일반음식점,고향집얼큰이칼국수,,경상북도 포항시 북구 두호동 1086 산호그린맨션1차부속동103호 , 054- 231-8484,2025-08-14
일반음식점,왕짜장,경상북도 포항시 북구 학전로 100-1 (두호동),경상북도 포항시 북구 두호동 903 , 054- 231-8999,2025-08-14
일반음식점,멕시카나 두호점,"경상북도 포항시 북구 삼흥로74번길 23 (두호동,(1층))",경상북도 포항시 북구 두호동 1071-4 (1층) , 054- 231-9091,2025-08-14
일반음식점,지코바 장성점,"경상북도 포항시 북구 학전로 150, 1층 (장성동)",경상북도 포항시 북구 장성동 1254 1층 , 054- 231-9244,2025-08-14
일반음식점,해물나라,경상북도 포항시 북구 아치로 37 (우현동),경상북도 포항시 북구 우현동 134-4 , 054- 231-9282,2025-08-14
일반음식점,손스숯불바베큐(본점),"경상북도 포항시 북구 중앙로 351, 1층 (덕수동)",경상북도 포항시 북구 덕수동 53-11 (1층) , 054- 231-9292,2025-08-14
일반음식점,맛사랑돼지국밥,경상북도 포항시 북구 새천년대로 1033-9 (창포동),경상북도 포항시 북구 창포동 629-1 , 054- 231-9533,2025-08-14
일반음식점,칠십육(76),경상북도 포항시 북구 중앙상가7길 8 (신흥동),경상북도 포항시 북구 신흥동 827-11 , 054- 231-9557,2025-08-14
일반음식점,옥여사마늘통닭,경상북도 포항시 북구 선착로 29-1 (대신동),경상북도 포항시 북구 대신동 15-13 , 054- 231-9908,2025-08-14
일반음식점,후라이드 참 잘하는집,"경상북도 포항시 북구 학전로 78, 1층 (두호동)",경상북도 포항시 북구 두호동 1037-2 1층 , 054- 231-9989,2025-08-14
일반음식점,백돈,"경상북도 포항시 북구 법원로8번길 13-19, 101호 (장성동)",경상북도 포항시 북구 장성동 1461-4 101호, 054- 232-0034,2025-08-14
일반음식점,청보리,경상북도 포항시 북구 탑산길 13 (용흥동),경상북도 포항시 북구 용흥동 96-14 , 054- 232-0277,2025-08-14
일반음식점,지유,"경상북도 포항시 북구 삼호로 232 (두호동,(2층))",경상북도 포항시 북구 두호동 1012-5 (2층) , 054- 232-0711,2025-08-14
일반음식점,연자방아가든,경상북도 포항시 북구 청하면 사방공원길135번길 3,경상북도 포항시 북구 청하면 소동리 341 , 054- 232-1223,2025-08-14
일반음식점,비알디백록담(대신.우현점),경상북도 포항시 북구 중앙로 396-5 (대신동),경상북도 포항시 북구 대신동 953-19 , 054- 232-1319,2025-08-14
일반음식점,착한수산,"경상북도 포항시 북구 신덕로 243-2, 2층 (장성동)",경상북도 포항시 북구 장성동 1388-7 2층 , 054- 232-1651,2025-08-14
일반음식점,먹고 마시고 사랑하고,경상북도 포항시 북구 삼호로 206 (두호동),경상북도 포항시 북구 두호동 674 , 054- 232-2055,2025-08-14
일반음식점,김.박 막창,"경상북도 포항시 남구 중흥로172번길 29, 1층 (상도동)",경상북도 포항시 남구 상도동 18-262 1층 , 054- 232-2233,2025-08-14
일반음식점,죠스 떡볶이(양덕지구점),"경상북도 포항시 북구 양덕로44번길 2, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1752 (1층) , 054- 232-2235,2025-08-14
일반음식점,행복한김밥,"경상북도 포항시 북구 중앙로 274, 1,2층동 (상원동)","경상북도 포항시 북구 상원동 449-11 1,2층 ", 054- 232-2237,2025-08-14
일반음식점,백참&두찜 포항양덕점,"경상북도 포항시 북구 장량로 217, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1828-1 , 054- 232-2279,2025-08-14
일반음식점,한신포차포항영일대점,경상북도 포항시 북구 해안로 73 (항구동),경상북도 포항시 북구 항구동 17-85 , 054- 232-2332,2025-08-14
일반음식점,건널목,경상북도 포항시 북구 두호로6번길 5-7 (두호동),경상북도 포항시 북구 두호동 1032-4 , 054- 232-2333,2025-08-14
일반음식점,미미해장국,"경상북도 포항시 북구 칠성천길 109 (죽도동,(1층))",경상북도 포항시 북구 죽도동 556-149 (1층) , 054- 232-2625,2025-08-14
